open;high;low;close;volume;marketCap;timestamp
11.93124987;12.08955265;11.04293822;11.95554675;52911536.43;2061353420.84;"2021-06-30T00:00:00.000Z"
11.95030917;12.06907936;11.01350835;11.22981075;33886418.65;1936223352.36;"2021-07-01T00:00:00.000Z"
11.11286489;11.67278961;10.88422448;11.503907;33146235.15;1983482524.21;"2021-07-03T00:00:00.000Z"
11.4977303;12.87262011;11.2131434;12.35010032;60403499.13;2129381621.62;"2021-07-04T00:00:00.000Z"
12.05024669;14.19901947;12.04526355;13.35743392;115274690.77;2303064232.69;"2021-07-06T00:00:00.000Z"
13.35441327;14.15504032;13.05963031;13.08975328;90665563.12;2256911227.02;"2021-07-07T00:00:00.000Z"
12.09736949;12.86909895;11.64798189;12.54416765;63493395;2162842354.64;"2021-07-09T00:00:00.000Z"
12.55365748;12.83905012;11.87679772;12.02573707;36867384.03;2073455506.88;"2021-07-10T00:00:00.000Z"
12.02388714;12.48770757;11.92610359;12.41366516;31468064.37;2140341355.75;"2021-07-11T00:00:00.000Z"
12.16183817;12.43664908;11.77015114;11.91466872;43903713.4;2054305305.8;"2021-07-13T00:00:00.000Z"
11.90075051;12.09323141;11.13669051;11.79209645;43795904.68;2033171619.71;"2021-07-14T00:00:00.000Z"
11.38936074;11.8161883;10.8437057;10.86089656;47233363.15;1872615844.5;"2021-07-16T00:00:00.000Z"
10.81363423;11.14822414;10.73740515;10.92774577;32780916.12;1884141862.14;"2021-07-17T00:00:00.000Z"
10.96381853;11.27632671;10.66114265;10.70465093;32792036.86;1845676260.4;"2021-07-18T00:00:00.000Z"
10.18024561;10.34117726;9.34063315;9.65058829;35862709.47;1663936714.56;"2021-07-20T00:00:00.000Z"
9.64204692;10.74384749;9.48374334;10.42052476;45013149.09;1796687747.49;"2021-07-21T00:00:00.000Z"
10.83539962;11.16061359;10.53450849;11.09935614;35786332.15;1913730606.39;"2021-07-23T00:00:00.000Z"
11.07375299;11.44687879;10.96057257;11.17281695;42078774.99;1926396584.56;"2021-07-24T00:00:00.000Z"
11.24770454;12.68621906;11.21540981;11.49217013;94326394.51;1981458874.35;"2021-07-26T00:00:00.000Z"
11.46403636;12.27171308;11.18834863;11.91977341;52941102.13;2055185446.42;"2021-07-27T00:00:00.000Z"
11.93221505;12.43209383;11.70220598;12.25692665;68268674.65;2113316789.02;"2021-07-28T00:00:00.000Z"
12.42955103;13.00236498;11.96553516;13.00236498;71146687.59;2254457532.81;"2021-07-30T00:00:00.000Z"
12.98247397;13.60985354;12.60490449;13.59160938;67970747.77;2356847737.58;"2021-07-31T00:00:00.000Z"
12.86150651;13.36972995;12.64908153;13.00689143;54993391.5;2255921927.08;"2021-08-02T00:00:00.000Z"
13.0008762;13.51085758;12.33503266;12.53329375;60826755.08;2174047238.77;"2021-08-03T00:00:00.000Z"
13.69686431;13.9410163;12.92304838;13.83428145;76011395.32;2400170728.76;"2021-08-05T00:00:00.000Z"
13.83460645;14.96212064;13.41156329;14.72543082;105878541.3;2554816692.99;"2021-08-06T00:00:00.000Z"
14.75772077;15.92166788;14.62192957;15.76119031;128714035.62;2734546034.65;"2021-08-07T00:00:00.000Z"
14.80956445;16.72816143;14.47416798;16.23180554;143463343.38;2816357011.3;"2021-08-09T00:00:00.000Z"
16.18202149;17.16831631;15.80688639;16.44843775;124902141.61;2854288123.78;"2021-08-10T00:00:00.000Z"
16.72569169;17.53613914;15.47868738;16.56905346;112149586;2875267447.25;"2021-08-12T00:00:00.000Z"
16.59777492;18.27935036;16.4140269;18.04875317;113858976.52;3132281821.46;"2021-08-13T00:00:00.000Z"
18.03270117;18.40706533;17.24212825;18.06764952;101585489.6;3135569346.59;"2021-08-14T00:00:00.000Z"
18.77149702;21.11339341;18.49400508;19.18263064;252835090.37;3329606536.2;"2021-08-16T00:00:00.000Z"
19.07641793;25.34667496;18.48108223;23.52999792;737983102.43;4085030409.42;"2021-08-17T00:00:00.000Z"
30.03548293;33.70999201;28.80657475;30.6342725;1116363939.18;5318975579.97;"2021-08-19T00:00:00.000Z"
30.66789426;39.18530191;29.99938572;39.18530191;962895338.13;6803795069.04;"2021-08-20T00:00:00.000Z"
43.73388198;45.00549479;40.76093581;43.53219825;1163748675.08;7560311292.37;"2021-08-22T00:00:00.000Z"
43.63062539;53.06847873;43.63062539;46.45053232;1527912598.61;8067278162.45;"2021-08-23T00:00:00.000Z"
46.5177256;58.98477303;44.31471717;55.34584978;2249385586.71;9620414359.64;"2021-08-24T00:00:00.000Z"
46.25825507;48.45748108;41.42075323;41.42075323;1202053528.71;7215688828.27;"2021-08-26T00:00:00.000Z"
41.37185755;50.41109846;40.33214778;50.07779013;1672611617.92;8732090955.03;"2021-08-27T00:00:00.000Z"
50.23713049;52.41293107;46.79543005;47.50910414;790206804.09;8302197933.02;"2021-08-29T00:00:00.000Z"
